id", "symbol", "html", "dec", "hex", "descr",
12573, "", "", "&#09;", "&#x09;", "Horizontal Tab",
12574, "", "", "&#32;", "&#x20;", "Space",
12575, "", "&nbsp;", "&#160;", "&#xA0;", "Non-Breaking Space",
12576, "", "", "&#10;", "&#x10;", "Line Feed",
12577, "!", "", "&#33;", "&#x21;", "Exclamation Point",
12578, "\"", "&quot;", "&#34;", "&#x22;", "Double Quote",
12579, "#", "", "&#35;", "&#x23;", "Number Sign",
12580, "$", "", "&#36;", "&#x24;", "Dollar Sign",
12581, "%", "", "&#37;", "&#x25;", "Percent",
12582, "&", "&amp;", "&#38;", "&#x26;", "Ampersand",
12583, "'", "", "&#39;", "&#x27;", "Single Quote",
12584, "(", "", "&#40;", "&#x28;", "Left Parenthesis",
12585, ")", "", "&#41;", "&#x29;", "Right Parenthesis",
12586, "*", "", "&#42;", "&#x2A;", "Asterisk (Star)",
12587, "+", "", "&#43;", "&#x2B;", "Plus Sign",
12588, """, """, "", "&#44;", "&#x2C;", "Comma",
12589, "-", "", "&#45;", "&#x2D;", "Hyphen",
12590, ".", "", "&#46;", "&#x2E;", "Period",
12591, "/", "", "&#47;", "&#x2F;", "Forward Slash",
12592, ":", "", "&#58;", "&#x3A;", "Colon",
12593, ";", "", "&#59;", "&#x3B;", "Semi-Colon",
12594, "<", "&lt;", "&#60;", "&#x3C;", "Less Than Sign",
12595, "=", "", "&#61;", "&#x3D;", "Equal Sign",
12596, ">", "&gt;", "&#62;", "&#x3E;", "Greater Than Sign",
12597, "?", "", "&#63;", "&#x3F;", "Question Mark",
12598, "@", "", "&#64;", "&#x40;", "At Sign",
12599, "[", "", "&#91;", "&#x5B;", "Left Square Bracket",
12600, "\", "", "&#92;", "&#x5C;", "Back Slash",
12601, "]", "", "&#93;", "&#x5D;", "Right Square Bracket",
12602, "^", "", "&#94;", "&#x5E;", "Caret",
12603, "_", "", "&#95;", "&#x5F;", "Underscore",
12604, "`", "", "&#96;", "&#x60;", "Grave Accent",
12605, "{", "", "&#123;", "&#x7B;", "Left Curly Brace",
12606, "|", "", "&#124;", "&#x7C;", "Vertical Bar",
12607, "}", "", "&#125;", "&#x7D;", "Right Curly Brace",
12608, "~", "&tilde;", "&#126;", "&#x7E;", "Tilde",
12609, "¡", "", "&#161;", "&#xA1;", "Inverted exclamation point",
12610, "¢", "&cent;", "&#162;", "&#xA2;", "Cent Sign",
12611, "£", "&pound;", "&#163;", "&#xA3;", "Pound Sterling",
12612, "¤", "&curren;", "&#164;", "&#xA4;", "Generic",
12613, "¥", "&yen;", "&#165;", "&#xA5;", "Yen Symbol",
12614, "¦", "&brvbar;", "&#166;", "&#xA6;", "Broken Vertical Bar",
12615, "§", "&sect;", "&#167;", "&#xA7;", "Section Mark",
12616, "¨", "&uml;", "&#168;", "&#xA8;", "Umlaut",
12617, "©", "&copy;", "&#169;", "&#xA9;", "Copyright",
12618, "ª", "&ordf;", "&#170;", "&#xAA;", "Feminine Ordinal Indicator",
12619, "«", "&laquo;", "&#171;", "&#xAB;", "Left Angle Quote",
12620, "¬", "&not;", "&#172;", "&#xAC;", "Not Sign",
12621, "­", "&shy;", "&#173;", "&#xAD;", "Soft Hyphen",
12622, "®", "&reg;", "&#174;", "&#xAE;", "Registered Symbol",
12623, "¯", "&macr;", "&#175;", "&#xAF;", "Macron",
12624, "°", "&deg;", "&#176;", "&#xB0;", "Degree",
12625, "±", "&plusmn;", "&#177;", "&#xB1;", "Plus or Minus Sign",
12626, "²", "&sup2;", "&#178;", "&#xB2;", "Superscript 2",
12627, "³", "&sup3;", "&#179;", "&#xB3;", "Superscript 3",
12628, "´", "&acute;", "&#180;", "&#xB4;", "Acute",
12629, "µ", "&micro;", "&#181;", "&#xB5;", "Micro Sign",
12630, "¶", "&para;", "&#182;", "&#xB6;", "Pilcrow (Paragraph Sign)",
12631, "·", "&middot;", "&#183;", "&#xB7;", "Middle Dot",
12632, "¸", "&cedil;", "&#184;", "&#xB8;", "Cedilla",
12633, "¹", "&sup1;", "&#185;", "&#xB9;", "Superscript 1",
12634, "º", "&ordm;", "&#186;", "&#xBA;", "Masculine Ordinal Indicator",
12635, "»", "&raquo;", "&#187;", "&#xBB;", "Right Angle Quote",
12636, "¼", "&frac14;", "&#188;", "&#xBC;", "One Quarter Fraction",
12637, "½", "&frac12;", "&#189;", "&#xBD;", "One Half Fraction",
12638, "¾", "&frac34;", "&#190;", "&#xBE;", "Three Quarters Fraction",
12639, "¿", "&iquest;", "&#191;", "&#xBF;", "Inverted Question Mark",
12640, "×", "&times;", "&#215;", "&#xD7;", "Multiplication Sign",
12641, "ß", "", "&#223;", "", "SZ ligature",
12642, "À", "&Agrave;", "&#192;", "&#xC0;", "Capital A-grave",
12643, "à", "&agrave;", "&#224;", "&#xE0;", "Lowercase a-grave",
12644, "Á", "&Aacute;", "&#193;", "&#xC1;", "Capital A-acute",
12645, "á", "&aacute;", "&#225;", "&#xE1;", "Lowercase a-acute",
12646, "Â", "&Acirc;", "&#194;", "&#xC2;", "Capital A-circumflex",
12647, "â", "&acirc;", "&#226;", "&#xE2;", "Lowercase a-circumflex",
12648, "Ä", "&Auml;", "&#196;", "", "Capital A-umlaut",
12649, "ä", "&auml;", "&#228;", "", "Lowercase a-umlaut",
12650, "Æ", "&AElig;", "&#198;", "&#xC6;", "Capital AE Ligature",
12651, "æ", "&aelig;", "&#230;", "&#xE6;", "Lowercase AE Ligature",
12652, "Ç", "&Ccedil;", "&#199;", "&#xC7;", "Capital C-cedilla",
12653, "ç", "&ccedil;", "&#231;", "&#xE7;", "Lowercase c-cedilla",
12654, "È", "&Egrave;", "&#200;", "&#xC8;", "Capital E-grave",
12655, "è", "&egrave;", "&#232;", "&#xE8;", "Lowercase e-grave",
12656, "É", "&Eacute;", "&#201;", "&#xC9;", "Capital E-acute",
12657, "é", "&eacute;", "&#233;", "&#xE9;", "Lowercase e-acute",
12658, "Ê", "&Ecirc;", "&#202;", "&#xCA;", "Capital E-circumflex",
12659, "ê", "&ecirc;", "&#234;", "&#xEA;", "Lowercase e-circumflex",
12660, "Ë", "&Euml;", "&#203;", "&#xCB;", "Capital E-umlaut",
12661, "ë", "&euml;", "&#235;", "&#xEB;", "Lowercase e-umlaut",
12662, "Ì", "&Igrave;", "&#204;", "&#xCC;", "Capital I-grave",
12663, "ì", "&igrave;", "&#236;", "&#xEC;", "Lowercase i-grave",
12664, "Í", "&Iacute;", "&#205;", "&#xCD;", "Capital I-acute",
12665, "í", "&iacute;", "&#237;", "&#xED;", "Lowercase i-acute Lowercase I-acute Lowercase i-acute",
12666, "Î", "&Icirc;", "&#206;", "&#xCE;", "Capital I-circumflex",
12667, "î", "&icirc;", "&#238;", "&#xEE;", "Lowercase i-circumflex",
12668, "Ï", "&Iuml;", "&#207;", "&#xCF;", "Capital I-umlaut",
12669, "ï", "&iuml;", "&#239;", "&#xEF;", "Lowercase i-umlaut",
12670, "Ñ", "&Ntilde;", "&#209;", "&#xD1;", "Capital N-tilde",
12671, "ñ", "&ntilde;", "&#241;", "&#xF1;", "Lowercase n-tilde",
12672, "Ò", "&Ograve;", "&#210;", "&#xD2;", "Capital O-grave",
12673, "ò", "&ograve;", "&#242;", "&#xF2;", "Lowercase o-grave",
12674, "Ó", "&Oacute;", "&#211;", "&#xD3;", "Capital O-acute",
12675, "ó", "&oacute;", "&#243;", "&#xF3;", "Lowercase o-acute",
12676, "Ô", "&Ocirc;", "&#212;", "&#xD4;", "Capital O-circumflex",
12677, "ô", "&ocirc;", "&#244;", "&#xF4;", "Lowercase o-circumflex",
12678, "Ö", "&Ouml;", "&#214;", "", "Capital O-umlaut",
12679, "ö", "&ouml;", "&#246;", "", "Lowercase o-umlaut",
12680, "÷", "&divide;", "&#247;", "&#xF7;", "Division Sign",
12681, "Ù", "&Ugrave;", "&#217;", "&#xD9;", "Capital U-grave",
12682, "ù", "&ugrave;", "&#249;", "&#xF9;", "Lowercase u-grave",
12683, "Ú", "&Uacute;", "&#218;", "&#xDA;", "Capital U-acute",
12684, "ú", "&uacute;", "&#250;", "&#xFA;", "Lowercase u-acute",
12685, "Û", "&Ucirc;", "&#219;", "&#xDB;", "Capital U-circumflex",
12686, "û", "&ucirc;", "&#251;", "&#xFB;", "Lowercase U-circumflex",
12687, "ü", "&uuml;", "&#252;", "&#xFC;", "Lowercase u-umlaut",
12688, "Ü", "&Uuml;", "&#220;", "&#xDC;", "Capital U-umlaut",
12689, "Ý", "&Yacute;", "&#221;", "", "Capital Y-acute",
12690, "ý", "&yacute;", "&#253;", "", "Lowercase y-acute",
12691, "Ă", "", "&#258;", "&#x102;", "Capital A-breve",
12692, "ă", "", "&#259;", "&#x103;", "Lowercase a-breve",
12693, "Ą", "", "&#260;", "", "Capital A-cedille",
12694, "ą", "", "&#261;", "", "Lowercase a-cedille",
12695, "Ć", "", "&#262;", "", "Capital C-acute",
12696, "ć", "", "&#263;", "", "Lowercase c-acute",
12697, "Č", "", "&#268;", "", "Capital C-hachek",
12698, "č", "", "&#269;", "", "Lowercase c-hachek",
12699, "ď", "", "&#271;", "", "d-apostrophe",
12700, "Ę", "", "&#280;", "", "Capital E-cedille",
12701, "ę", "", "&#281;", "", "Lowercase e-cedille",
12702, "Ě", "", "&#282;", "", "Capital E-hachek",
12703, "ě", "", "&#283;", "", "Lowercase e-hachek",
12704, "Ğ", "", "&#286;", "", "Capital G-breve",
12705, "ğ", "", "&#287;", "", "Lowercase g-breve",
12706, "ı", "", "&#305;", "", "Lowercase i-dotless",
12707, "Ĺ", "", "&#313;", "", "Capital L-acute",
12708, "ĺ", "", "&#314;", "", "Lowercase l-acute",
12709, "Ł", "", "&#321;", "", "Capital L-bar",
12710, "ł", "", "&#322;", "", "Lowercase l-bar",
12711, "Ń", "", "&#323;", "", "Capital N-acute",
12712, "ń", "", "&#324;", "", "Lowercase n-acute",
12713, "Ň", "", "&#327;", "", "Capital N-hachek",
12714, "ň", "", "&#328;", "", "Lowercase n-hachek",
12715, "Œ", "&OElig;", "&#140;", "&#x152;", "Capital OE ligature",
12716, "œ", "&oelig;", "&#156;", "&#x153;", "Lowercase oe ligature",
12717, "Ŕ", "", "&#340;", "", "Capital R-acute",
12718, "ŕ", "", "&#341;", "", "Lowercase r-acute",
12719, "Ř", "", "&#344;", "", "Capital R-hachek",
12720, "ř", "", "&#345;", "", "Lowercase r-hachek",
12721, "Ś", "", "&#346;", "", "Capital S-acute",
12722, "ś", "", "&#347;", "", "Lowercase s-acute",
12723, "Ş", "", "&#350;", "&#x15E;", "Capital S-cedil",
12724, "ş", "", "&#351;", "&#x15F;", "Lowercase s-cedil",
12725, "Š", "", "&#352;", "", "Capital S-hachek",
12726, "š", "", "&#353;", "", "Lowercase s-hachek",
12727, "Ţ", "", "&#354;", "&#x162;", "Capital T-cedilla",
12728, "ţ", "", "&#355;", "&#x163;", "Lowercase t-cedilla",
12729, "ť", "", "&#357;", "", "t-apostrophe",
12730, "Ů", "", "&#366;", "", "Capital U-ring",
12731, "ů", "", "&#367;", "", "Lowercase u-ring",
12732, "Ź", "", "&#377;", "", "Capital Z-acute",
12733, "ź", "", "&#378;", "", "Lowercase z-acute",
12734, "Ż", "", "&#379;", "", "Capital Z-dot",
12735, "ż", "", "&#380;", "", "Lowercase z-dot",
12736, "Ž", "", "&#381;", "", "Capital Z-hachek",
12737, "ž", "", "&#382;", "", "Lowercase z-hachek",
12738, "ƒ", "", "&#131;", "&#x83;", "Function Sign",
12739, "Ș", "", "", "&#x218;", "Capital S-comma",
12740, "ș", "", "", "&#x219;", "Lowercase s-comma",
12741, "Ț", "", "", "&#x21A;", "Capital T-comma",
12742, "ț", "", "", "&#x21B;", "Lowercase t-comma",
12743, "ˆ", "", "&#136;", "&#x88;", "Hachek",
12744, "˘", "", "&#728;", "&#x2D8;", "Breve",
12745, "˙", "", "&#729;", "&#x2D9;", "Dot",
12746, "˚", "", "&#730;", "&#x2DA;", "Ring",
12747, "˛", "", "&#731;", "&#x2DB;", "Ring",
12748, "˜", "", "&#732;", "&#x2DC;", "Small Tilde",
12749, "˝", "", "&#733;", "&#x2DD;", "Double Accent",
12750, "Α", "&Alpha;", "&#913;", "&#x391;", "Capital Alpha",
12751, "α", "&alpha;", "&#945;", "&#x3B1;", "Lowercase Alpha",
